,wallet_age_days,transaction_count,total_deposited_usd,total_borrowed_usd,total_repaid_usd,liquidation_count,health_ratio,repayment_ratio,credit_score
0x0214c5c41f5249166aab9a12213ac0e2119d2cc8,134,42,3.028066373226728e+22,4092455124.261,4099131037.942,0,7399143742679.122,1.002,999
0x0018d044b946ede86b43bb3b964a45772a5abeb9,53,22,2.8720331146862185e+22,1121551.473,1121345.369,0,5.6413304162759704e+16,1.0,997
0x047ea31614fc085ce7b80412fbab65fd51a8bb7a,119,298,3.2942633323784935e+23,253874545704.862,253864935366.4,0,1401613600184.51,1.0,980
0x03ed358b4ea92c6ff41ebf5f0f8f22847b993d2f,119,138,8.974955306390261e+21,3256137859.948,3260419286.553,0,2756319200742.57,1.001,971
0x028f328c1e4ca62717b830db377ee1582bc1ece2,112,30,9.883518432956564e+21,3946646560.231,4086491274.32,0,4541444400826.358,1.035,968
0x04cda19cb300c98a5ff01a9bafc907e8751268d8,105,99,6.818730671049287e+23,419230289983.536,411029756482.555,0,2698246709824.382,0.98,966
0x034c69160676cd0f0ee35719a93343ea066e31a4,96,24,1.2520560386271522e+23,78419318878.291,78391799264.391,0,3196674786234.433,1.0,959
0x0421fa1f9f228934332cc11de6f66497f43fb734,107,72,4.895143577042511e+20,79031353.542,79072074.551,0,6664806237615.023,1.001,955
0x0357ee511a77d1981d2d79e076f9608be771c85b,107,77,5.344222400973912e+22,86264377549.166,86265243293.089,0,619516717416.252,1.0,952
0x032c56e52d2cd8be4256cba3c631931d1e3b07cb,97,37,3.5746084838084423e+21,1203080571.688,1199642323.947,0,7186825462308.003,0.997,952
0x02e07cc7e01b1ca69c0a6de55bfd9b99a8f0af3a,85,49,1.0219473153455139e+23,29102346732.481,29362566843.601,0,5175732318573.992,1.009,951
0x05da09fd7515bd600b89b89c0039d09bd91bf0c2,92,44,3.337112114910334e+22,20662363261.916,20710261752.499,0,3114240217878.531,1.002,949
0x02bee0a17903cc1f2f48b4514ec23aae547fe4a3,107,71,2.0261463066500022e+21,2321178807.381,2330080868.385,0,1736618411366.69,1.004,948
0x034f4243c5e44976913d3e607089d75bc976dde2,8,2,2.2383628752947433e+18,0.0,8.23555879034346e+17,0,2.2383628752947433e+18,8.23555879034346e+17,947
0x05c2879f011db90cbe5387c8415fc8fe5e81efda,93,35,2.6416595739093856e+21,901469660.147,906779127.432,0,4026623440820.628,1.006,942
0x00d831f24309b3271297f19b8e9be846c8c531c4,60,141,3.3277045912483775e+23,39091729532.202,39076041653.624,0,16042709201383.256,1.0,941
0x00707aa2eeff1ddb8b22bd1539f92818c9cb8a85,74,39,3.511821715906597e+23,140980655187.713,141408818496.357,0,2490995456934.066,1.003,938
0x01daab3d40bdda5b8125c4aecbaef6ee2f262efa,75,180,3.153963766596723e+23,181994454222.955,181805558676.265,0,2221703514424.262,0.999,938
